City.State,Latitude,Longitude,Count
"Aberdeen, SD",45.4590912,-98.4873199,1
"Albert Lea, MN",43.6473312,-93.3687134,1
"Ames, IA",42.025341,-93.6202011,2
"Ankeny, IA",41.7318802,-93.6052704,1
"Apple Valley , MN",44.7436218,-93.2175903,1
"Aurora, IL",41.7570686,-88.3160629,2
"Avoca, WI",43.1820412,-90.3253937,1
"Bayport, MN",45.0180511,-92.7796173,1
"Beaver Dam, WI",43.4563293,-88.8302383,1
"Bedford Park , IL",41.7703285,-87.8185196,1
"Bensenville, IL",41.9565506,-87.9410477,1
"Bettendorf, IA",41.5259018,-90.4956284,2
"Black Hawk, SD",44.1533394,-103.3094101,1
"Blaine, MN",45.1660118,-93.2087326,1
"Bloomington, MN",44.8211098,-93.3055573,2
"Brookfield, WI",43.0559998,-88.126358,1
"Burlington, IA",40.8120499,-91.1007309,1
"Cedar Rapids, IA",41.9763412,-91.6737595,1
"Champaign , IL",40.1142006,-88.2434998,1
"Chicago, IL",41.8842506,-87.6324463,15
"Cresco, IA",43.371109,-92.1194077,1
"Creston, IA",41.0558815,-94.3726196,1
"Davenport, IA",41.5382614,-90.5764008,1
"Dekalb, IL",41.9292984,-88.7492981,3
"Des Moines, IA",41.5897598,-93.6156464,1
"Des Plaines, IL",42.0419998,-87.8884506,3
"Dickinson, ND",46.8790283,-102.7905884,1
"Duluth, MN",46.7879601,-92.0998535,1
"Eagan, MN",44.8180809,-93.16716,1
"Eau Claire, WI",44.8165092,-91.5012283,1
"Eden Prairie, MN",44.8586617,-93.4601288,1
"Elgin, IL",42.0395584,-88.2832413,1
"Elm Grove, WI",43.0462303,-88.0822601,1
"Evanston, IL",42.0570183,-87.6864471,3
"Fargo, ND",46.8759117,-96.7817612,3
"Fridley, MN",45.0850983,-93.2632599,1
"Germantown, WI",43.2209816,-88.1185837,1
"Grand Island, NE",40.9247398,-98.3398972,1
"Hibbing, MN",47.421051,-92.9417419,1
"Holstein, IA",42.4898605,-95.5447693,1
"Independence, IA",42.4779015,-91.8894424,1
"Iowa City, IA",41.6578217,-91.5265274,2
"Kankakee, IL",41.1199417,-87.8604126,1
"Kearney, NE",40.70047,-99.0834732,1
"Kieler, WI",42.5807915,-90.6042633,1
"La Crosse, WI",43.8126183,-91.2519226,1
"Lincoln, NE",40.8136215,-96.7077408,3
"Madison, WI",43.042469,-89.4039688,4
"Manitowoc, WI",44.1075706,-87.6617203,1
"Mankato, MN",44.1674004,-94.0024109,1
"Maple Grove, MN",45.0982895,-93.4431,10
"Marshfield, WI",44.6666794,-90.1738281,3
"Menomonee Falls, WI",43.1730919,-88.1036835,1
"Milwaukee, WI",43.0418091,-87.9068375,4
"Minneapolis    , MN",44.9790306,-93.2649307,1
"Minneapolis, MN",44.9790306,-93.2649307,4
"Minnetonka, MN",44.9400597,-93.4673233,1
"Moline, IL",41.4917297,-90.4898911,2
"Mosinee, WI",44.7932281,-89.7034302,1
"Mount Prospect, IL",42.0653801,-87.935379,1
"Mundelein, IL",42.2696495,-87.9973373,1
"Muscatine, IA",41.4220695,-91.0431595,1
"New Berlin, WI",42.9753685,-88.1185608,16
"New Ulm, MN",44.3122215,-94.461113,1
"Norfolk, NE",42.032711,-97.4110565,1
"North Branch, MN",45.5114288,-92.9793701,1
"North Chicago, IL",42.3256187,-87.8560791,1
"Oak Creek, WI",42.8891983,-87.9119797,1
"Omaha, NE",41.2606888,-95.9405899,2
"Orland Hills, IL",41.5980797,-87.8477936,1
"Oshkosh, WI",44.02491,-88.5444336,2
"Palos Heights, IL",41.6751213,-87.8066177,1
"Papillion, NE",41.1569519,-96.0429382,1
"Park Ridge, IL",42.0085983,-87.8303986,1
"Peoria, IL",40.6921387,-89.5877609,1
"Plainfield, IL",41.6084404,-88.2123566,1
"Pleasant Prairie, WI",42.5272293,-87.8539429,1
"Plymouth, MN",45.0188103,-93.4757996,1
"Prescott, WI",44.7491112,-92.8023682,1
"Racine, WI",42.7252083,-87.7904129,1
"Rapid City, SD",44.0811615,-103.2308884,6
"Rochester, MN",44.0193481,-92.4591522,32
"Rock Island, IL",41.51157,-90.5760422,1
"Rolling Meadows, IL",42.0806007,-88.0264206,1
"Saint Paul, MN",44.943821,-93.0933228,1
"Schaumburg, IL",42.0260086,-88.0655289,1
"Sheboygan, WI",43.7497787,-87.7137527,1
"Sobieski, WI",44.7208099,-88.0703735,1
"St. Cloud, MN",45.5542984,-94.1343994,1
"St. Louis Park, MN",44.9484787,-93.3433914,3
"St. Paul, MN",44.943821,-93.0933228,4
"Urbana, IL",40.1172714,-88.2044907,1
"Valley City, ND",46.9233513,-98.0022583,1
"Verona, WI",42.9914589,-89.5284195,1
"Waterloo, IA",42.4930992,-92.3421478,1
"Waukegan, IL",42.3620796,-87.8338699,1
"Waukesha, WI",43.0145798,-88.2354813,1
"Waunakee, WI",43.1920509,-89.4626389,1
"Wausau, WI",44.9595299,-89.6303101,1
"West Fargo, ND",46.8725395,-96.8848419,2
"West Liberty, IA",41.5704918,-91.2607727,1
"Winona, MN",44.0512886,-91.638588,1
"Wisconsin Rapids, WI",44.3931885,-89.8163681,1
"Woodbury, MN",44.9198685,-92.9406128,1
"Worthington, MN",43.6199989,-95.5963974,1
