City,State,Zip,Country,Latitude,Longitude
Pleasant Prairie,WI,53158,USA,42.5272293,-87.8539429
Evanston,IL,60208,USA,42.0570183,-87.6864471
Chicago,IL,60606,USA,41.8842506,-87.6324463
Des Plaines,IL,60018,USA,42.0419998,-87.8884506
Chicago,IL,60603,USA,41.8842506,-87.6324463
Des Plaines,IL,60016,USA,42.0419998,-87.8884506
Chicago,IL,60640,USA,41.8842506,-87.6324463
Chicago,IL,60614,USA,41.8842506,-87.6324463
Park Ridge,IL,60068,USA,42.0085983,-87.8303986
Evanston,IL,60208,USA,42.0570183,-87.6864471
Evanston       ,IL,60208,USA,42.0570183,-87.6864471
Chicago,IL,60618,USA,41.8842506,-87.6324463
Mundelein,IL,60060,USA,42.2696495,-87.9973373
Chicago,IL,60657,USA,41.8842506,-87.6324463
North Chicago,IL,60064,USA,42.3256187,-87.8560791
Chicago,IL,60657,USA,41.8842506,-87.6324463
Mount Prospect,IL,60056,USA,42.0653801,-87.935379
Rolling Meadows,IL,60008,USA,42.0806007,-88.0264206
Palos Heights,IL,60463,USA,41.6751213,-87.8066177
Chicago,IL,60618,USA,41.8842506,-87.6324463
Bensenville,IL,60106,USA,41.9565506,-87.9410477
Chicago,IL,60654,USA,41.8842506,-87.6324463
Des Plaines,IL,60018,USA,42.0419998,-87.8884506
Bedford Park ,IL,60638,USA,41.7703285,-87.8185196
Chicago,IL,60614,USA,41.8842506,-87.6324463
Chicago,IL,60622,USA,41.8842506,-87.6324463
Minneapolis,MN,55402,USA,44.9790306,-93.2649307
La Crosse,WI,54601,USA,43.8126183,-91.2519226
Maple Grove,MN,55311,USA,45.0982895,-93.4431
St. Louis Park,MN,55416,USA,44.9484787,-93.3433914
Maple Grove,MN,55369,USA,45.0982895,-93.4431
Maple Grove,MN,55369,USA,45.0982895,-93.4431
Minneapolis,MN,55407,USA,44.9790306,-93.2649307
Minneapolis    ,MN,55403,USA,44.9790306,-93.2649307
Maple Grove,MN,55311,USA,45.0982895,-93.4431
Fridley,MN,55432,USA,45.0850983,-93.2632599
Bayport,MN,55003,USA,45.0180511,-92.7796173
Maple Grove,MN,55311,USA,45.0982895,-93.4431
Minnetonka,MN,55343,USA,44.9400597,-93.4673233
North Branch,MN,55056,USA,45.5114288,-92.9793701
Apple Valley ,MN,55124,USA,44.7436218,-93.2175903
Maple Grove,MN,55369,USA,45.0982895,-93.4431
Maple Grove,MN,55369,USA,45.0982895,-93.4431
Maple Grove,MN,55369,USA,45.0982895,-93.4431
Maple Grove,MN,55369,USA,45.0982895,-93.4431
St. Louis Park,MN,55416,USA,44.9484787,-93.3433914
Cresco,IA,52136,USA,43.371109,-92.1194077
Maple Grove,MN,55311,USA,45.0982895,-93.4431
St. Paul,MN,55108,USA,44.943821,-93.0933228
Eden Prairie,MN,55344,USA,44.8586617,-93.4601288
Woodbury,MN,55125,USA,44.9198685,-92.9406128
Saint Paul,MN,55114,USA,44.943821,-93.0933228
Blaine,MN,55434,USA,45.1660118,-93.2087326
Minneapolis,MN,55417,USA,44.9790306,-93.2649307
St. Louis Park,MN,55416,USA,44.9484787,-93.3433914
Prescott,WI,54021,USA,44.7491112,-92.8023682
Plymouth,MN,55447,USA,45.0188103,-93.4757996
Bloomington,MN,55438,USA,44.8211098,-93.3055573
St. Cloud,MN,56303,USA,45.5542984,-94.1343994
Eagan,MN,55122,USA,44.8180809,-93.16716
Dickinson,ND,58601,USA,46.8790283,-102.7905884
Minneapolis,MN,55401,USA,44.9790306,-93.2649307
Bloomington,MN,55431,USA,44.8211098,-93.3055573
St. Paul,MN,55108,USA,44.943821,-93.0933228
St. Paul,MN,55108,USA,44.943821,-93.0933228
St. Paul,MN,55115,USA,44.943821,-93.0933228
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53202,USA,42.9753685,-88.1185608
Milwaukee,WI,53223,USA,43.0418091,-87.9068375
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
Brookfield,WI,53045,USA,43.0559998,-88.126358
Oak Creek,WI,53154,USA,42.8891983,-87.9119797
Milwaukee,WI,53208,USA,43.0418091,-87.9068375
Sheboygan,WI,53083,USA,43.7497787,-87.7137527
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
New Berlin,WI,53151,USA,42.9753685,-88.1185608
Germantown,WI,53022,USA,43.2209816,-88.1185837
Elm Grove,WI,53122,USA,43.0462303,-88.0822601
Menomonee Falls,WI,53051,USA,43.1730919,-88.1036835
