latitude,longitude,name,desc,color,source,precision
42.5272293,-87.8539429,"Pleasant Prairie, WI","Pleasant Prairie, WI",,Bing Maps,city/town
42.0570183,-87.6864471,"Evanston, IL","Evanston, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.0419998,-87.8884506,"Des Plaines, IL","Des Plaines, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.5272293,-87.8539429,"Pleasant Prairie, WI","Pleasant Prairie, WI",,Bing Maps,city/town
42.0570183,-87.6864471,"Evanston, IL","Evanston, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.0419998,-87.8884506,"Des Plaines, IL","Des Plaines, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.0419998,-87.8884506,"Des Plaines, IL","Des Plaines, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.0085983,-87.8303986,"Park Ridge, IL","Park Ridge, IL",,Bing Maps,city/town
42.0570183,-87.6864471,"Evanston, IL","Evanston, IL",,Bing Maps,city/town
42.0570183,-87.6864471,"Evanston       , IL","Evanston, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.2696495,-87.9973373,"Mundelein, IL","Mundelein, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.3256187,-87.8560791,"North Chicago, IL","North Chicago, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.0653801,-87.935379,"Mount Prospect, IL","Mount Prospect, IL",,Bing Maps,city/town
42.0806007,-88.0264206,"Rolling Meadows, IL","Rolling Meadows, IL",,Bing Maps,city/town
41.6751213,-87.8066177,"Palos Heights, IL","Palos Heights, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
41.9565506,-87.9410477,"Bensenville, IL","Bensenville, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
42.0419998,-87.8884506,"Des Plaines, IL","Des Plaines, IL",,Bing Maps,city/town
41.7703285,-87.8185196,"Bedford Park , IL","Bedford Park, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
44.9790306,-93.2649307,"Minneapolis, MN","Minneapolis, MN",,Bing Maps,city/town
43.8126183,-91.2519226,"La Crosse, WI","La Crosse, WI",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
44.9484787,-93.3433914,"St. Louis Park, MN","St Louis Park, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
44.9790306,-93.2649307,"Minneapolis, MN","Minneapolis, MN",,Bing Maps,city/town
44.9790306,-93.2649307,"Minneapolis    , MN","Minneapolis, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
45.0850983,-93.2632599,"Fridley, MN","Fridley, MN",,Bing Maps,city/town
45.0180511,-92.7796173,"Bayport, MN","Bayport, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
44.9400597,-93.4673233,"Minnetonka, MN","Minnetonka, MN",,Bing Maps,city/town
45.5114288,-92.9793701,"North Branch, MN","North Branch, MN",,Bing Maps,city/town
44.7436218,-93.2175903,"Apple Valley , MN","Apple Valley, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
44.9484787,-93.3433914,"St. Louis Park, MN","St Louis Park, MN",,Bing Maps,city/town
43.371109,-92.1194077,"Cresco, IA","Cresco, IA",,Bing Maps,city/town
45.0982895,-93.4431,"Maple Grove, MN","Maple Grove, MN",,Bing Maps,city/town
44.943821,-93.0933228,"St. Paul, MN","St Paul, MN",,Bing Maps,city/town
44.8586617,-93.4601288,"Eden Prairie, MN","Eden Prairie, MN",,Bing Maps,city/town
44.9198685,-92.9406128,"Woodbury, MN","Woodbury, MN",,Bing Maps,city/town
44.943821,-93.0933228,"Saint Paul, MN","St Paul, MN",,Bing Maps,city/town
45.1660118,-93.2087326,"Blaine, MN","Blaine, MN",,Bing Maps,city/town
44.9790306,-93.2649307,"Minneapolis, MN","Minneapolis, MN",,Bing Maps,city/town
44.9484787,-93.3433914,"St. Louis Park, MN","St Louis Park, MN",,Bing Maps,city/town
44.7491112,-92.8023682,"Prescott, WI","Prescott, WI",,Bing Maps,city/town
45.0188103,-93.4757996,"Plymouth, MN","Plymouth, MN",,Bing Maps,city/town
44.8211098,-93.3055573,"Bloomington, MN","Bloomington, MN",,Bing Maps,city/town
45.5542984,-94.1343994,"St. Cloud, MN","St Cloud, MN",,Bing Maps,city/town
44.8180809,-93.16716,"Eagan, MN","Eagan, MN",,Bing Maps,city/town
46.8790283,-102.7905884,"Dickinson, ND","Dickinson, ND",,Bing Maps,city/town
44.9790306,-93.2649307,"Minneapolis, MN","Minneapolis, MN",,Bing Maps,city/town
44.8211098,-93.3055573,"Bloomington, MN","Bloomington, MN",,Bing Maps,city/town
44.943821,-93.0933228,"St. Paul, MN","St Paul, MN",,Bing Maps,city/town
44.943821,-93.0933228,"St. Paul, MN","St Paul, MN",,Bing Maps,city/town
44.943821,-93.0933228,"St. Paul, MN","St Paul, MN",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
43.0418091,-87.9068375,"Milwaukee, WI","Milwaukee, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
43.0559998,-88.126358,"Brookfield, WI","Brookfield, WI",,Bing Maps,city/town
42.8891983,-87.9119797,"Oak Creek, WI","Oak Creek, WI",,Bing Maps,city/town
43.0418091,-87.9068375,"Milwaukee, WI","Milwaukee, WI",,Bing Maps,city/town
43.7497787,-87.7137527,"Sheboygan, WI","Sheboygan, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
42.9753685,-88.1185608,"New Berlin, WI","New Berlin, WI",,Bing Maps,city/town
